T0018;T0019;T0046;T0017;;;;;
T0019;T0010;T0046;;;;;;
T0007;;;;;;;;
T0018;T0019;T0029;T0007;T0010;T0046;T0057;;
T0002;T0049;T0047;T0048;;;;;
T0023;T0057;T0057;;;;;;
T0015;T0043;T0007;T0039;;;;;
T0039;T0044;;;;;;;
T0002;T0049;T0049;;;;;;
T0019;T0010;;;;;;;
T0019;T0010;T0046;;;;;;
T0022;T0007;T0046;;;;;;
T0019;T0010;T0009;T0046;T0020;;;;
T0019;T0007;T0010;T0046;T0020;T0057;;;
T0019;T0040;T0010;T0046;;;;;
T0019;T0010;T0046;;;;;;
T0007;T0010;T0046;T0039;T0020;;;;
T0019;T0007;T0045;;;;;;
T0011;;;;;;;;
T0023;T0040;;;;;;;
T0018;T0016;T0019;T0029;T0007;T0010;T0046;T0020;T0057
T0019;T0010;T0046;;;;;;